p=0.6572_k=1.964343,p=0.6572_k=1.2345,p=0.6572_k=2.7852,p=0.6572_k=3.321,p=0.6572_k=3.4729,p=0.6572_k=3.8342,p=0.5_k=1.964343,p=0.5_k=1.2345,p=0.5_k=2.7852,p=0.5_k=3.321,p=0.5_k=3.4729,p=0.5_k=3.8342,p=0.892_k=1.964343,p=0.892_k=1.2345,p=0.892_k=2.7852,p=0.892_k=3.321,p=0.892_k=3.4729,p=0.892_k=3.8342,p=0.121_k=1.964343,p=0.121_k=1.2345,p=0.121_k=2.7852,p=0.121_k=3.321,p=0.121_k=3.4729,p=0.121_k=3.8342,p=0.9932_k=1.964343,p=0.9932_k=1.2345,p=0.9932_k=2.7852,p=0.9932_k=3.321,p=0.9932_k=3.4729,p=0.9932_k=3.8342,p=0.893_k=1.964343,p=0.893_k=1.2345,p=0.893_k=2.7852,p=0.893_k=3.321,p=0.893_k=3.4729,p=0.893_k=3.8342,p=0.891_k=1.964343,p=0.891_k=1.2345,p=0.891_k=2.7852,p=0.891_k=3.321,p=0.891_k=3.4729,p=0.891_k=3.8342
0.4909239374182614,0.1928308471750794,0.6418712211580531,0.47247937144746277,0.47544061227082174,0.15724772443513935,0.49092393741826146,0.19333182081918582,0.6370376178255288,0.47328991208704285,0.48241150730530624,0.49578373927996433,0.49092393741818957,0.183370749843646,0.6352161627789582,0.8284112149134673,0.832820199064221,0.6061031967641219,0.4909239374182238,0.18511049827315962,0.6365774311608366,0.828120187162121,0.8654408758443137,0.9489127830968379,0.4909238285402273,0.0632753899896877,0.6457019136383763,0.4725584323652435,0.4757835214345254,0.9585467609027213,0.4909239374181858,0.18321749586629035,0.6351378257046997,0.8297465815722112,0.8329424459379395,0.4186968029863985,0.4909239374181933,0.1835209246959508,0.6352987710912055,0.8273600919713402,0.8332447402026048,0.9017394962180851
0.4909239374182614,0.192146359211957,0.6402410446621584,0.8277347244285275,0.8661302733918324,0.5081115488751701,0.49092393741826146,0.1925259881152972,0.6439958694107217,0.8278807029674283,0.8671506407590903,0.9584818399846321,0.49092393741825896,0.18486133570362717,0.6453770445833507,0.4720671114851997,0.4835343504529126,0.9153850044364152,0.4909239374182601,0.1862176608013933,0.6443465650746163,0.47270165116140306,0.40442950653178905,0.18587171416504616,0.49092393353597413,0.07317080873149999,0.6371728565189632,0.8277491553746462,0.8661883600459122,0.15235143113721003,0.4909239374182588,0.18474149924481123,0.6454360316113131,0.46914834443752595,0.48325170014454116,0.9332051334137103,0.490923937418259,0.18497870819749967,0.645314804325777,0.4743562643827766,0.48255231168679485,0.3397307371775714
0.4909239374182614,0.19162666471120324,0.6415219380467837,0.47354122529087755,0.40267797249032417,0.9582977202793135,0.49092393741826146,0.19191503917316638,0.6385494060534499,0.47322338638828393,0.4000794934362288,0.15257969769859087,0.49092393741826135,0.1860238696867573,0.6374362321223478,0.8276588021679487,0.8672834356348406,0.2969791039342214,0.4909239374182614,0.18707692453290387,0.6382677653998097,0.8277751913004291,0.8365045065147588,0.5802042571112086,0.49092393727983075,0.08371989080839108,0.6438925834263688,0.47350981111315515,0.4025302424814963,0.4951503999188989,0.4909239374182614,0.18593060992261365,0.6373884542471333,0.8270889903342099,0.8672508322821829,0.23899838634276924,0.4909239374182614,0.18611517756033313,0.6374866240094036,0.8280661064931556,0.8671677734353629,0.8600638316066371
0.4909239374182614,0.19123131636929477,0.6405167361365885,0.8279250782930021,0.8353311601026665,0.15322689985564775,0.49092393741826146,0.1914507744582694,0.6428354737114444,0.8278688860517465,0.8335511926049639,0.4957587378527993,0.49092393741826146,0.18692674265320244,0.6436911429049539,0.4737064747907538,0.3997407846876237,0.8005139219294779,0.4909239374182614,0.18774170924324426,0.6430526161730011,0.4734531309976188,0.47497018600012375,0.9338856540149392,0.49092393741332546,0.09469956986856064,0.6386322235360431,0.8279195543137873,0.8352312218758868,0.9584598249035666,0.4909239374182614,0.18685443628816867,0.6437277140837676,0.47494548356753064,0.3998239546684578,0.6973572321318788,0.4909239374182614,0.1869975148697722,0.6436525570741576,0.4728195034675698,0.4000358014381341,0.46146144931241073
0.4909239374182614,0.1909301155610629,0.6413063565298474,0.473126739991101,0.4777078590706596,0.4974813805238018,0.49092393741826146,0.19109735995302507,0.6394764260527019,0.4732491206100597,0.48184265507951196,0.9584810292424979,0.49092393741826146,0.1876256498170512,0.6387935730012009,0.827954028417007,0.8333157208752249,0.6122886996501904,0.4909239374182614,0.18825478103935483,0.6393035251716784,0.8279095709010319,0.866049257361019,0.23673592789411727,0.4909239374180855,0.10583561246839111,0.6427715380952249,0.4731387715494071,0.47794059482306267,0.15265709694975507,0.4909239374182614,0.18756975214262142,0.6387642970776903,0.8281653126762389,0.8333736148016438,0.8092083813199694,0.4909239374182614,0.18768034899119124,0.6388244536148349,0.8277965136400002,0.8335208625115341,0.9528553699012132
0.4909239374182614,0.1907003831648676,0.6406865568905841,0.827851666444257,0.866499178646482,0.9585256779667625,0.49092393741826146,0.19082797175094518,0.6421176287782642,0.8278734606906432,0.8670800224656652,0.1525825481212173,0.49092393741826146,0.18816528657183498,0.6426468655693842,0.4730636815688341,0.48238799868210985,0.9102055228165393,0.4909239374182614,0.18865001683291893,0.6422518790367358,0.47316051550749527,0.40288397894293704,0.6928093750544361,0.4909239374182552,0.11682621075046115,0.6395272850867196,0.8278538135027413,0.8665350265817073,0.4959649187057485,0.4909239374182614,0.1881221715062527,0.6426694974444199,0.47260329901382914,0.4822539542462425,0.5919628163523555,0.4909239374182614,0.18820746974046695,0.6426229880079568,0.4734067089885766,0.4819129200347631,0.17223998589336023
0.4909239374182614,0.19052501070315292,0.6411733516566509,0.4732866188530923,0.40173934883949497,0.15242556378192232,0.49092393741826146,0.1906224250027574,0.6400461446753032,0.4732391583259158,0.40025956370553456,0.49576633179745194,0.49092393741826146,0.18858112314819953,0.6396263931792443,0.8278403978026739,0.8671477668817258,0.3133746452666143,0.4909239374182614,0.1889540365636041,0.6399398149863744,0.8278576913216985,0.8354702688230498,0.8160118700215239,0.4909239374182612,0.12737305240808916,0.6420781071823203,0.47328194342304797,0.40164808879738984,0.9584875720116736,0.4909239374182614,0.18854792570607357,0.6396084084624941,0.8277573263940219,0.8671313069003606,0.9261235586944354,0.4909239374182614,0.18861359861279514,0.6396453647039934,0.8279013784158366,0.8670888669448702,0.5466548273425245
0.4909239374182614,0.19039104766914988,0.6407912001349033,0.8278801186840319,0.8346936102331494,0.4953480096792436,0.49092393741826146,0.1904654696116551,0.6416740878674839,0.8278716902689629,0.8336760537777967,0.9584812760045243,0.49092393741826146,0.18890107053677826,0.6420010507568635,0.4733111569212692,0.4000868222400479,0.82500855990082,0.4909239374182614,0.1891876294536415,0.6417570055553347,0.4732734990150447,0.47738378773952767,0.5756533606526862,0.4909239374182614,0.13721363546252996,0.6400774276769691,0.8278792890485854,0.8346312964374268,0.15255954478502445,0.4909239374182614,0.188875543888534,0.6420150379165531,0.4734920233185365,0.400128796473039,0.2623310283324574,0.4909239374182614,0.18892603939892572,0.6419862941794013,0.47317835831557425,0.4002370129799248,0.950204200711758
0.4909239374182614,0.19028866519787452,0.6410913142989304,0.47322465882996567,0.4791913923668598,0.9584670240243345,0.49092393741826146,0.19034554831687586,0.6403967268135277,0.47324301382569545,0.4815533250837032,0.15258168055112192,0.49092393741826146,0.18914694953920072,0.6401383960516083,0.8278844704806498,0.8335562788124202,0.5535412914774402,0.4909239374182614,0.18936695500430345,0.6403312705723929,0.827877790255881,0.8664486357623074,0.9366052209439782,0.4909239374182614,0.14614758329966923,0.6416496808641499,0.4732264655909536,0.47933624068957553,0.4957050457527766,0.4909239374182614,0.18912734163313574,0.6401273316262857,0.827916423539059,0.8335854018439326,0.7419693079734749,0.4909239374182614,0.1891661274338942,0.6401500679370364,0.827860871063547,0.8336604293849085,0.18141968838967376
0.4909239374182614,0.19021038858788333,0.6408556949150862,0.8278691123504631,0.8667212407192043,0.15263178713820083,0.49092393741826146,0.1902538818224609,0.6414002518454528,0.8278723755173729,0.8670432422288628,0.49576402046985274,0.49092393741826146,0.18933573536822185,0.6416020976625405,0.4732151815125289,0.4818308713666021,0.9475586142959825,0.4909239374182614,0.18950452896984807,0.6414514310081129,0.4732297296156329,0.401868003449674,0.2276590031006683,0.4909239374182614,0.15405136275264164,0.6404159867059526,0.8278694336572773,0.8667421031337764,0.9584792719236405,0.4909239374182614,0.1893206859005599,0.6416107345098484,0.47314559047470356,0.48176339573894056,0.7340608644023433,0.4909239374182614,0.1893504538751312,0.6415929858951162,0.4732665746777268,0.4815895360652962,0.5694039484150722
